_id,YEAR,CATEGORY,DIVISION,COMMAND,GROSS_EXPENDITURE__FINAL_
1,2017,Expenditures,Division 53,East,"$22,400,750.00 "
2,2017,Expenditures,Division 55,East,"$47,121,977.00 "
3,2017,Expenditures,Division 11,West,"$25,070,751.00 "
4,2017,Expenditures,Division 12,West,"$25,881,117.00 "
5,2017,Expenditures,Division 14,West,"$33,269,692.00 "
6,2017,Expenditures,Division 22,West,"$25,237,401.00 "
7,2017,Expenditures,Division 23,West,"$28,801,591.00 "
8,2017,Expenditures,Division 31,West,"$29,955,986.00 "
9,2017,Expenditures,Division 51,West,"$32,307,596.00 "
10,2017,Expenditures,Division 52,West,"$31,038,733.00 "
11,2018,Expenditures,Division 13,East,"$21,832,617.00 "
12,2018,Expenditures,Division 32,East,"$27,032,397.00 "
13,2018,Expenditures,Division 33,East,"$20,772,921.00 "
14,2018,Expenditures,Division 41,East,"$28,213,125.00 "
15,2018,Expenditures,Division 42,East,"$26,940,694.00 "
16,2018,Expenditures,Division 43,East,"$31,387,618.00 "
17,2018,Expenditures,Division 53,East,"$21,654,240.00 "
18,2018,Expenditures,Division 55,East,"$45,918,361.00 "
19,2018,Expenditures,Division 11,West,"$25,553,065.00 "
20,2018,Expenditures,Division 12,West,"$26,394,439.00 "
21,2018,Expenditures,Division 14,West,"$33,809,644.00 "
22,2018,Expenditures,Division 22,West,"$25,078,539.00 "
23,2018,Expenditures,Division 23,West,"$27,553,169.00 "
24,2018,Expenditures,Division 31,West,"$29,266,023.00 "
25,2018,Expenditures,Division 51,West,"$32,519,191.00 "
26,2018,Expenditures,Division 52,West,"$30,407,956.00 "
27,2019,Expenditures,Division 13,East,"$21,077,199.00 "
28,2019,Expenditures,Division 32,East,"$26,933,802.00 "
29,2019,Expenditures,Division 33,East,"$20,068,625.00 "
30,2019,Expenditures,Division 41,East,"$28,109,185.00 "
31,2019,Expenditures,Division 42,East,"$26,036,942.00 "
32,2019,Expenditures,Division 43,East,"$30,885,298.00 "
33,2019,Expenditures,Division 53,East,"$21,579,556.00 "
34,2019,Expenditures,Division 55,East,"$43,026,489.00 "
35,2019,Expenditures,Division 11,West,"$25,104,991.00 "
36,2019,Expenditures,Division 12,West,"$25,536,259.00 "
37,2019,Expenditures,Division 14,West,"$33,360,434.00 "
38,2019,Expenditures,Division 22,West,"$25,536,153.00 "
39,2019,Expenditures,Division 23,West,"$26,738,022.00 "
40,2019,Expenditures,Division 31,West,"$28,053,161.00 "
41,2019,Expenditures,Division 51,West,"$34,386,976.00 "
42,2019,Expenditures,Division 52,West,"$31,418,489.00 "
43,2020,Expenditures,Division 13,East,"$20,044,957.00 "
44,2020,Expenditures,Division 32,East,"$28,289,377.00 "
45,2020,Expenditures,Division 33,East,"$20,332,669.00 "
46,2020,Expenditures,Division 41,East,"$28,286,361.00 "
47,2020,Expenditures,Division 42,East,"$26,436,068.00 "
48,2020,Expenditures,Division 43,East,"$32,165,250.00 "
49,2020,Expenditures,Division 53,East,"$21,887,143.00 "
50,2020,Expenditures,Division 55,East,"$39,942,730.00 "
51,2020,Expenditures,Division 11,West,"$25,575,001.00 "
52,2020,Expenditures,Division 12,West,"$25,839,834.00 "
53,2020,Expenditures,Division 14,West,"$35,039,845.00 "
54,2020,Expenditures,Division 22,West,"$26,946,022.00 "
55,2020,Expenditures,Division 23,West,"$27,644,106.00 "
56,2020,Expenditures,Division 31,West,"$29,411,479.00 "
57,2020,Expenditures,Division 51,West,"$35,700,049.00 "
58,2020,Expenditures,Division 52,West,"$33,295,910.00 "
59,2021,Expenditures,Division 13,East,"$20,346,187.00 "
60,2021,Expenditures,Division 32,East,"$28,905,960.00 "
61,2021,Expenditures,Division 33,East,"$20,109,047.00 "
62,2021,Expenditures,Division 41,East,"$28,395,024.00 "
63,2021,Expenditures,Division 42,East,"$26,853,221.00 "
64,2021,Expenditures,Division 43,East,"$33,546,159.00 "
65,2021,Expenditures,Division 53,East,"$22,688,977.00 "
66,2021,Expenditures,Division 55,East,"$40,409,192.00 "
67,2021,Expenditures,Division 11,West,"$25,174,886.00 "
68,2021,Expenditures,Division 12,West,"$24,609,218.00 "
69,2021,Expenditures,Division 14,West,"$36,143,540.00 "
70,2021,Expenditures,Division 22,West,"$27,897,601.00 "
71,2021,Expenditures,Division 23,West,"$28,189,159.00 "
