X_id,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,ObjectId,geometry
1,111878,2004,D53,Other,2004-01-03T00:00:00,97,Yonge-St.Clair (97),1,"{'type': 'MultiPoint', 'coordinates': [[-79.392814, 43.68502592]]}"
2,125755,2004,D42,Shooting,2004-01-08T00:00:00,137,Woburn (137),2,"{'type': 'MultiPoint', 'coordinates': [[-79.23384908, 43.78174501]]}"
3,136086,2004,D42,Shooting,2004-01-08T00:00:00,132,Malvern (132),3,"{'type': 'MultiPoint', 'coordinates': [[-79.2068545, 43.81085356]]}"
4,148623,2004,D13,Shooting,2004-01-25T00:00:00,93,Dovercourt-Wallace Emerson-Junction (93),4,"{'type': 'MultiPoint', 'coordinates': [[-79.43436062, 43.6704717]]}"
5,148619,2004,D42,Shooting,2004-01-25T00:00:00,131,Rouge (131),5,"{'type': 'MultiPoint', 'coordinates': [[-79.20382249, 43.82353918]]}"
6,152518,2004,D31,Stabbing,2004-02-20T00:00:00,26,Downsview-Roding-CFB (26),6,"{'type': 'MultiPoint', 'coordinates': [[-79.50859475, 43.72091645]]}"
7,172092,2004,D31,Shooting,2004-02-21T00:00:00,26,Downsview-Roding-CFB (26),7,"{'type': 'MultiPoint', 'coordinates': [[-79.50894007, 43.72236515]]}"
8,133635,2004,D23,Other,2004-02-21T00:00:00,2,Mount Olive-Silverstone-Jamestown (2),8,"{'type': 'MultiPoint', 'coordinates': [[-79.59282796, 43.74311454]]}"
9,218803,2004,D42,Shooting,2004-03-03T00:00:00,132,Malvern (132),9,"{'type': 'MultiPoint', 'coordinates': [[-79.22755784, 43.8162641]]}"
10,200779,2004,D41,Shooting,2004-03-04T00:00:00,120,Clairlea-Birchmount (120),10,"{'type': 'MultiPoint', 'coordinates': [[-79.28668911, 43.70008354]]}"
11,218585,2004,D42,Shooting,2004-03-03T00:00:00,129,Agincourt North (129),11,"{'type': 'MultiPoint', 'coordinates': [[-79.26646318, 43.80802563]]}"
12,229133,2004,D41,Stabbing,2004-03-13T00:00:00,137,Woburn (137),12,"{'type': 'MultiPoint', 'coordinates': [[-79.24162034, 43.76793345]]}"
13,219659,2004,D53,Other,2004-03-18T01:00:00,32,Englemount-Lawrence (32),13,"{'type': 'MultiPoint', 'coordinates': [[-79.42744802, 43.70973929]]}"
14,219687,2004,D42,Other,2004-03-24T01:00:00,137,Woburn (137),14,"{'type': 'MultiPoint', 'coordinates': [[-79.22528368, 43.75982126]]}"
15,256410,2004,D51,Other,2004-04-01T01:00:00,73,Moss Park (73),15,"{'type': 'MultiPoint', 'coordinates': [[-79.37099208, 43.65829436]]}"
16,250857,2004,D23,Shooting,2004-04-13T00:00:00,5,Elms-Old Rexdale (5),16,"{'type': 'MultiPoint', 'coordinates': [[-79.5505259, 43.72509835]]}"
17,350484,2004,D23,Shooting,2004-05-01T00:00:00,2,Mount Olive-Silverstone-Jamestown (2),17,"{'type': 'MultiPoint', 'coordinates': [[-79.57924831, 43.73524273]]}"
18,301868,2004,D54,Shooting,2004-03-03T00:00:00,58,Old East York (58),18,"{'type': 'MultiPoint', 'coordinates': [[-79.32874138, 43.69594155]]}"
