ID,YEAR,DATE,DIVISION,HOMICIDE_TYPE,NEIGHBORHOOD,MONTH
3922539,2011,2011-01-01T00:00:00Z,D14,Stabbing,Waterfront Communities-The Island (77),Jan
2885827,2011,2011-01-05T00:00:00Z,D41,Shooting,Wexford/Maryvale (119),Jan
3737551,2011,2011-01-06T00:00:00Z,D43,Other,West Hill (136),Jan
4040426,2011,2011-01-12T00:00:00Z,D53,Other,Annex (95),Jan
4033175,2011,2011-01-13T00:00:00Z,D13,Other,Forest Hill North (102),Jan
3832781,2011,2011-01-23T00:00:00Z,D51,Other,Church-Yonge Corridor (75),Jan
3966773,2011,2011-02-01T00:00:00Z,D31,Shooting,Humbermede (22),Feb
3530271,2011,2011-02-05T00:00:00Z,D31,Stabbing,York University Heights (27),Feb
4017505,2011,2011-02-11T00:00:00Z,D12,Shooting,Beechborough-Greenbrook (112),Feb
3948450,2011,2011-02-11T00:00:00Z,D43,Shooting,Woburn (137),Feb
4017400,2011,2011-02-16T00:00:00Z,D12,Shooting,Weston (113),Feb
3996966,2011,2011-02-26T00:00:00Z,D42,Shooting,Malvern (132),Feb
4010034,2011,2011-03-02T00:00:00Z,D11,Shooting,Lambton Baby Point (114),Mar
4029641,2011,2011-03-03T00:00:00Z,D14,Other,Dovercourt-Wallace Emerson-Junction (93),Mar
3973677,2011,2011-03-20T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Mar
3914456,2011,2011-03-21T00:00:00Z,D11,Other,South Parkdale (85),Mar
3981811,2011,2011-03-28T00:00:00Z,D41,Shooting,Kennedy Park (124),Mar
3736070,2011,2011-03-28T00:00:00Z,D55,Shooting,The Beaches (63),Mar
3985830,2011,2011-04-15T00:00:00Z,D31,Other,York University Heights (27),Apr
3942884,2011,2011-04-06T00:00:00Z,D54,Other,Danforth (66),Apr
3832638,2011,2011-04-30T00:00:00Z,D23,Shooting,West Humber-Clairville (1),Apr
3985926,2011,2011-05-26T00:00:00Z,D42,Shooting,Pleasant View (46),May
4047557,2011,2011-05-29T00:00:00Z,D23,Shooting,West Humber-Clairville (1),May
3582659,2011,2011-06-16T00:00:00Z,D31,Shooting,Glenfield-Jane Heights (25),Jun
4071110,2011,2011-07-01T00:00:00Z,D33,Stabbing,Victoria Village (43),Jul
3984179,2011,2011-07-22T00:00:00Z,D43,Stabbing,Scarborough Village (139),Jul
3429437,2011,2011-07-29T00:00:00Z,D22,Shooting,Islington-City Centre West (14),Jul
3794249,2011,2011-07-29T00:00:00Z,D12,Other,Mount Dennis (115),Jul
4119820,2011,2011-07-31T00:00:00Z,D12,Shooting,Mount Dennis (115),Jul
3443263,2011,2011-08-10T00:00:00Z,D31,Stabbing,Downsview-Roding-CFB (26),Aug
